id,gpu_name,url,graphics_processor-gpu_name,graphics_processor-gpu_variant,graphics_processor-architecture,graphics_processor-foundry,graphics_processor-process_size,graphics_processor-transistors,graphics_processor-die_size,graphics_card-release_date,graphics_card-availability,graphics_card-generation,graphics_card-predecessor,graphics_card-successor,graphics_card-production,graphics_card-launch_price,graphics_card-current_price,graphics_card-bus_interface,graphics_card-reviews,clock_speeds-base_clock,clock_speeds-boost_clock,clock_speeds-soc_clock,clock_speeds-uvd_clock,clock_speeds-memory_clock,memory-memory_size,memory-memory_type,memory-memory_bus,memory-bandwidth,render_config-shading_units,render_config-tmus,render_config-rops,render_config-compute_units,render_config-rt_cores,render_config-l0_cache,render_config-l1_cache,render_config-l2_cache,render_config-l3_cache,theoretical_performance-pixel_rate,theoretical_performance-texture_rate,theoretical_performance-fp16_(half)_performance,theoretical_performance-fp32_(float)_performance,theoretical_performance-fp64_(double)_performance,board_design-slot_width,board_design-length,board_design-width,board_design-height,board_design-tdp,board_design-suggested_psu,board_design-outputs,board_design-power_connectors,board_design-part_number,board_design-board_number,graphics_features-directx,graphics_features-opengl,graphics_features-opencl,graphics_features-vulkan,graphics_features-pixel_shader,graphics_features-vertex_shader,stock
0,Intel i740,https://www.techpowerup.com/gpu-specs/i740.c1288,Auburn,,i740,Intel,150 nm,unknown,unknown,"Feb 12th, 1998",,Graphics,,,End-of-life,,,AGP 2x,2 in our database,,,,,100 MHz,4 MB,SDR,64 bit,800.0 MB/s,,1,1,,,,,,,66.00 MPixel/s,66.00 MTexel/s,,,,Single-slot,,,,unknown,200 W,1x VGA,,,,5.0,1.1,,,,,8
1,Intel i740 8 MB,https://www.techpowerup.com/gpu-specs/i740-8-mb.c1551,Auburn,,i740,Intel,150 nm,unknown,unknown,"Feb 12th, 1998",,Graphics,,,End-of-life,,,AGP 2x,2 in our database,,,,,100 MHz,8 MB,SDR,64 bit,800.0 MB/s,,1,1,,,,,,,66.00 MPixel/s,66.00 MTexel/s,,,,Single-slot,,,,unknown,200 W,1x VGA,,,,5.0,1.1,,,,,7
2,Intel i740 Graphics,https://www.techpowerup.com/gpu-specs/i740-graphics.c1550,Auburn,,i740,Intel,150 nm,unknown,unknown,1998,,"Graphics
(IGP)",,,End-of-life,,,AGP 2x,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,1,1,,,,,,,66.00 MPixel/s,66.00 MTexel/s,,,,IGP,,,,unknown,,No outputs,,,,5.0,1.1,,,,,9
3,Intel i752 Graphics,https://www.techpowerup.com/gpu-specs/i752-graphics.c1289,Portola,,Generation 1.0,Intel,150 nm,unknown,unknown,1998,,"Graphics
(IGP)",,,End-of-life,,,AGP 2x,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,1,1,,,,,,,100.0 MPixel/s,100.0 MTexel/s,,,,IGP,,,,unknown,,No outputs,,,,7.0,1.2,,,1.4,1.1,0
4,Intel i752,https://www.techpowerup.com/gpu-specs/i752.c3671,Portola,,Generation 1.0,Intel,150 nm,unknown,unknown,"Apr 27th, 1999",,Graphics,,,End-of-life,,,AGP 2x,2 in our database,,,,,133 MHz,16 MB,SDR,64 bit,1.064 GB/s,,1,1,,,,,,,100.0 MPixel/s,100.0 MTexel/s,,,,Single-slot,,,,unknown,200 W,1x VGA2x S-Video,,,,7.0,1.2,,,1.4,1.1,2
5,Intel i810 Graphics,https://www.techpowerup.com/gpu-specs/i810-graphics.c1290,Whitney,,Generation 1.0,Intel,150 nm,unknown,unknown,1999,,"Graphics
(IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,1,1,,,,,,,133.0 MPixel/s,133.0 MTexel/s,,,,IGP,,,,unknown,,No outputs,,,,7.0,1.2,,,1.4,1.1,1
6,Intel i815 Graphics,https://www.techpowerup.com/gpu-specs/i815-graphics.c1291,Solano,,Generation 1.0,Intel,150 nm,unknown,unknown,2000,,"Graphics
(IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,1,1,,,,,,,133.0 MPixel/s,133.0 MTexel/s,,,,IGP,,,,unknown,,No outputs,,,,7.0,1.2,,,1.4,1.1,3
7,Intel i830M Graphics,https://www.techpowerup.com/gpu-specs/i830m-graphics.c1910,Almador,Almador (830M),Generation 1.0,Intel,150 nm,unknown,unknown,2001,,"Graphics-M
(IGP)",,,End-of-life,,,FSB,2 in our database,166 MHz,200 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,1,1,,,,,,,200.0 MPixel/s,200.0 MTexel/s,,,,IGP,,,,unknown,,No outputs,,,,7.0,1.2,,,1.4,1.1,6
8,Intel Extreme Graphics,https://www.techpowerup.com/gpu-specs/extreme-graphics.c1283,Brookdale,Brookdale-G (845G),Generation 2.0,Intel,150 nm,unknown,unknown,2002,,"Extreme Graphics
(IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,1,1,,,,,,,200.0 MPixel/s,200.0 MTexel/s,,,,IGP,,,,unknown,,No outputs,,,,7.0,1.3,,,1.4,1.1,5
9,Intel i830MG Graphics,https://www.techpowerup.com/gpu-specs/i830mg-graphics.c1284,Almador,Almador (830MG),Generation 1.0,Intel,150 nm,unknown,unknown,2002,,"Graphics-M
(IGP)",,,End-of-life,,,FSB,2 in our database,100 MHz,166 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,1,1,,,,,,,166.0 MPixel/s,166.0 MTexel/s,,,,IGP,,,,unknown,,No outputs,,,,7.0,1.2,,,1.4,1.1,2
